ID ,,  Year  ,       Award      ,Winner,      Name           Film        
405 , 1947 , Actress in a Supporting Role , 0 , Gloria Grahame , Crossfire
390 , 1947 , Actress in a Leading Role , 1 , Loretta Young , The Farmer's Daughter
389 , 1947 , Actor in a Supporting Role , 1 , Edmund Gwenn , Miracle on 34th Street
397 , 1947 , Actor in a Supporting Role , 0 , Thomas Gomez , Ride the Pink Horse
395 , 1947 , Actor in a Leading Role , 0 , Michael Redgrave , Mourning Becomes Electra
400 , 1947 , Actress in a Leading Role , 0 , Joan Crawford , Possessed
402 , 1947 , Actress in a Leading Role , 0 , Dorothy McGuire , Gentleman's Agreement
411 , 1948 , Actress in a Supporting Role , 1 , Claire Trevor , Key Largo
427 , 1948 , Actress in a Supporting Role , 0 , Jean Simmons , Hamlet
421 , 1948 , Actress in a Leading Role , 0 , Olivia de Havilland , The Snake Pit
417 , 1948 , Actor in a Supporting Role , 0 , Josí© Ferrer , Joan of Arc
425 , 1948 , Actress in a Supporting Role , 0 , Ellen Corby , I Remember Mama
423 , 1948 , Actress in a Leading Role , 0 , Barbara Stanwyck , "Sorry, Wrong Number"
424 , 1948 , Actress in a Supporting Role , 0 , Barbara Bel Geddes , I Remember Mama
413 , 1948 , Actor in a Leading Role , 0 , Montgomery Clift , The Search
410 , 1948 , Actress in a Leading Role , 1 , Jane Wyman , Johnny Belinda
418 , 1948 , Actor in a Supporting Role , 0 , Oscar Homolka , I Remember Mama
416 , 1948 , Actor in a Supporting Role , 0 , Charles Bickford , Johnny Belinda
408 , 1948 , Actor in a Leading Role , 1 , Laurence Olivier , Hamlet
420 , 1948 , Actress in a Leading Role , 0 , Ingrid Bergman , Joan of Arc
422 , 1948 , Actress in a Leading Role , 0 , Irene Dunne , I Remember Mama
409 , 1948 , Actor in a Supporting Role , 1 , Walter Huston , The Treasure of the Sierra Madre
412 , 1948 , Actor in a Leading Role , 0 , Lew Ayres , Johnny Belinda
414 , 1948 , Actor in a Leading Role , 0 , Dan Dailey , When My Baby Smiles at Me
419 , 1948 , Actor in a Supporting Role , 0 , Cecil Kellaway , The Luck of the Irish
426 , 1948 , Actress in a Supporting Role , 0 , Agnes Moorehead , Johnny Belinda
415 , 1948 , Actor in a Leading Role , 0 , Clifton Webb , Sitting Pretty
444 , 1949 , Actress in a Supporting Role , 0 , Ethel Barrymore , Pinky
438 , 1949 , Actor in a Supporting Role , 0 , Ralph Richardson , The Heiress
428 , 1949 , Actor in a Leading Role , 1 , Broderick Crawford , All the King's Men
432 , 1949 , Actor in a Leading Role , 0 , Kirk Douglas , Champion
447 , 1949 , Actress in a Supporting Role , 0 , Ethel Waters , Pinky
437 , 1949 , Actor in a Supporting Role , 0 , Arthur Kennedy , Champion
445 , 1949 , Actress in a Supporting Role , 0 , Celeste Holm , Come to the Stable
446 , 1949 , Actress in a Supporting Role , 0 , Elsa Lanchester , Come to the Stable
441 , 1949 , Actress in a Leading Role , 0 , Susan Hayward , My Foolish Heart
433 , 1949 , Actor in a Leading Role , 0 , Gregory Peck , Twelve O'Clock High
430 , 1949 , Actress in a Leading Role , 1 , Olivia de Havilland , The Heiress
439 , 1949 , Actor in a Supporting Role , 0 , James Whitmore , Battleground
436 , 1949 , Actor in a Supporting Role , 0 , John Ireland , All the King's Men
431 , 1949 , Actress in a Supporting Role , 1 , Mercedes McCambridge , All the King's Men
442 , 1949 , Actress in a Leading Role , 0 , Deborah Kerr , "Edward, My Son"
